"","Years.of.Driving.Experience","Number.of.Vehicles","Gender.Dummy","Married.Dummy","Vehicle.Age","Fuel.Type.Dummy","Losses","Cluster"
"2486",20,1,0,0,13,0,174,2
"2487",37,1,0,1,12,0,208,4
"2488",46,1,1,0,4,0,106,1
"2489",0,1,1,1,11,0,433,2
"2490",48,1,0,1,11,0,220,4
"2491",46,1,0,0,6,0,50,1
"2492",2,1,0,0,11,0,148,2
"2493",0,1,1,1,11,1,716,3
"2494",44,1,0,0,0,0,177,1
"2495",5,1,1,0,12,1,638,3
"2496",9,1,0,0,12,0,282,2
"2497",1,1,1,1,12,1,645,3
"2498",48,1,1,0,7,0,143,1
"2499",7,1,0,0,15,0,429,2
"2500",0,1,1,0,12,0,217,2
"2501",22,1,0,0,9,0,313,2
"2502",27,1,0,1,5,0,373,4
"2503",13,1,0,1,4,1,676,3
"2504",40,1,1,1,11,0,375,4
"2505",17,1,1,0,3,0,457,1
"2506",44,1,0,1,10,0,115,4
"2507",31,1,1,0,3,1,508,3
"2508",4,1,1,1,13,1,615,3
"2509",14,1,0,1,0,1,645,3
"2510",3,1,0,0,5,1,711,3
"2511",42,1,0,0,9,0,32,1
"2512",33,1,0,1,6,0,391,4
"2513",11,1,1,0,4,1,538,3
"2514",47,1,0,1,12,0,122,4
"2515",51,1,1,1,7,0,47,4
"2516",36,1,1,1,6,1,521,3
"2517",3,1,0,0,15,0,380,2
"2518",13,1,1,0,12,0,345,2
"2519",41,1,0,1,6,0,362,4
"2520",2,1,0,0,0,0,459,2
"2521",27,1,1,0,4,1,620,3
"2522",49,1,0,1,9,0,365,4
"2523",0,1,1,1,12,1,909,3
"2524",35,1,1,1,15,0,174,4
"2525",25,1,0,0,8,0,307,1
"2526",43,1,0,1,2,0,423,4
"2527",0,1,0,1,6,1,591,3
"2528",4,1,0,0,11,0,105,2
"2529",19,1,1,0,11,0,244,2
"2530",12,1,0,0,10,0,306,2
"2531",17,1,0,1,0,1,801,3
"2532",0,1,0,0,12,0,284,2
"2533",7,1,0,1,12,0,367,2
"2534",16,2,1,0,8,0,370,1
"2535",8,2,1,1,6,1,846,3
"2536",0,2,0,1,11,0,260,2
"2537",41,2,0,1,5,1,559,3
"2538",3,2,0,0,10,0,362,2
"2539",48,2,0,1,2,0,246,4
"2540",38,2,1,1,12,0,274,4
"2541",47,2,1,0,1,0,155,1
"2542",8,2,1,1,11,1,505,3
"2543",41,2,0,1,2,1,591,3
"2544",40,2,1,0,15,0,357,1
"2545",47,2,0,1,14,0,16,4
"2546",11,2,0,0,1,1,612,3
"2547",12,2,0,0,9,0,306,2
"2548",2,2,1,1,13,1,619,3
"2549",43,2,0,0,10,0,39,1
"2550",10,2,0,0,10,0,328,2
"2551",13,2,0,1,7,0,407,4
"2552",1,2,0,1,5,1,872,3
"2553",15,2,0,1,12,0,257,4
"2554",49,2,0,0,12,0,175,1
"2555",29,2,0,0,14,0,340,2
"2556",1,2,0,1,11,1,731,3
"2557",21,2,0,1,7,0,451,4
"2558",46,2,0,0,15,0,202,1
"2559",22,2,1,0,7,0,392,1
"2560",1,2,0,0,13,0,311,2
"2561",12,2,1,0,1,1,610,3
"2562",41,2,0,0,8,0,188,1
"2563",13,2,1,1,1,1,770,3
"2564",13,2,0,1,8,0,471,4
"2565",14,2,1,0,11,0,227,2
"2566",2,2,0,0,15,0,426,2
"2567",4,2,1,1,3,1,1851,3
"2568",0,2,1,1,11,1,943,3
"2569",0,2,1,0,6,1,764,3
"2570",43,2,0,0,7,0,266,1
"2571",42,2,0,0,13,0,22,1
"2572",31,2,0,0,8,0,314,1
"2573",32,2,0,0,3,0,468,1
"2574",1,2,1,0,13,0,452,2
"2575",46,2,1,0,11,0,68,1
"2576",7,2,1,0,14,0,129,2
"2577",4,2,1,1,7,1,1425,3
"2578",5,2,0,0,6,1,502,3
"2579",46,2,1,1,7,0,41,4
"2580",1,2,1,1,15,1,546,3
"2581",23,2,0,0,1,0,485,1
"2582",18,2,0,1,13,0,239,4
"2583",46,2,1,0,1,0,426,1
"2584",15,2,0,0,8,0,332,2
"2585",52,2,0,0,6,0,65,1
"2586",2,2,0,0,10,1,540,3
"2587",8,2,1,0,14,0,379,2
"2588",2,2,1,1,11,1,599,3
"2589",45,2,1,0,13,0,234,1
"2590",3,2,1,1,12,1,810,3
"2591",46,2,1,0,2,0,107,1
"2592",41,2,0,1,7,0,38,4
"2593",19,2,0,1,9,0,421,4
"2594",28,2,0,0,5,1,511,3
"2595",37,2,0,0,6,0,339,1
"2596",0,2,0,1,15,0,428,2
"2597",15,2,0,1,15,0,352,2
"2598",5,2,0,1,13,0,302,2
"2599",5,2,1,0,7,1,646,3
"2600",6,2,1,1,13,0,379,2
"2601",49,2,0,1,3,0,196,4
"2602",45,2,0,1,3,0,406,4
"2603",7,2,1,0,15,0,257,2
"2604",26,2,1,0,8,0,340,1
"2605",49,2,1,0,9,0,42,1
"2606",19,2,1,0,0,1,566,3
"2607",44,2,1,0,2,0,87,1
"2608",1,2,0,0,13,0,191,2
"2609",47,2,0,0,12,0,149,1
"2610",29,2,1,1,10,0,400,4
"2611",8,2,0,1,1,1,547,3
"2612",0,2,0,0,15,0,154,2
"2613",5,2,1,1,13,1,864,3
"2614",40,2,1,0,5,0,293,1
"2615",11,2,0,0,0,1,597,3
"2616",8,2,0,0,13,0,309,2
"2617",46,2,0,1,4,0,152,4
"2618",53,2,1,1,1,0,298,4
"2619",0,2,1,1,11,1,675,3
"2620",8,2,0,1,9,0,445,2
"2621",46,2,0,1,14,0,234,4
"2622",19,2,1,1,11,0,216,4
"2623",35,2,0,1,4,1,743,3
"2624",0,2,0,0,8,0,423,2
"2625",3,2,1,1,2,1,1058,3
"2626",47,2,1,0,2,1,548,3
"2627",39,2,0,0,14,0,28,1
"2628",53,2,0,0,7,0,67,1
"2629",49,2,0,1,3,0,175,4
"2630",46,2,0,1,3,1,602,3
"2631",13,2,1,1,11,0,410,4
"2632",6,2,1,1,8,1,848,3
"2633",17,2,0,1,6,0,411,4
"2634",18,2,1,0,14,0,143,2
"2635",7,2,0,0,7,0,284,2
"2636",5,2,0,1,15,0,310,2
"2637",16,2,0,0,5,1,509,3
"2638",22,2,0,1,0,1,693,3
"2639",40,2,1,0,6,0,244,1
"2640",30,2,0,0,0,1,591,3
"2641",0,2,0,1,12,0,330,2
"2642",0,2,0,0,12,0,142,2
"2643",22,2,1,1,10,0,474,4
"2644",16,2,0,1,3,1,799,3
"2645",11,2,1,1,0,1,632,3
"2646",16,2,0,0,11,0,257,2
"2647",0,2,0,0,13,0,303,2
"2648",30,2,1,0,1,0,496,1
"2649",16,2,0,1,12,0,296,4
"2650",40,2,1,0,6,0,405,1
"2651",0,2,1,0,1,1,994,3
"2652",21,2,1,0,15,0,373,2
"2653",26,2,1,1,13,0,305,4
"2654",44,2,0,0,7,0,173,1
"2655",48,2,1,1,7,0,322,4
"2656",46,2,0,0,7,0,279,1
"2657",50,2,0,1,13,0,69,4
"2658",19,2,0,0,12,0,125,2
"2659",42,2,1,0,1,0,83,1
"2660",45,2,1,0,10,0,134,1
"2661",0,2,0,0,6,0,428,2
"2662",2,2,0,0,7,0,314,2
"2663",46,2,1,0,8,0,318,1
"2664",2,2,0,0,14,0,258,2
"2665",15,2,0,0,7,0,284,2
"2666",32,2,0,1,1,1,653,3
"2667",4,2,1,1,15,1,620,3
"2668",0,2,0,0,14,0,214,2
"2669",31,2,1,1,9,0,457,4
"2670",34,2,0,0,7,0,332,1
"2671",0,2,0,0,10,0,312,2
"2672",29,2,0,1,11,0,159,4
"2673",2,2,0,0,12,0,190,2
"2674",39,2,0,1,10,0,426,4
"2675",10,2,1,0,10,0,354,2
"2676",41,2,1,1,13,0,100,4
"2677",52,2,0,0,10,0,117,1
"2678",47,2,1,0,14,0,182,1
"2679",42,2,1,1,0,0,87,4
"2680",0,2,1,0,10,1,587,3
"2681",9,2,1,0,12,0,417,2
"2682",23,2,1,0,8,0,321,1
"2683",49,2,1,1,9,0,54,4
"2684",26,2,1,1,3,1,693,3
"2685",11,2,0,0,5,0,408,2
"2686",6,2,1,1,3,1,1096,3
"2687",8,2,0,0,14,0,280,2
"2688",13,2,0,0,14,0,111,2
"2689",3,2,1,1,9,1,1078,3
"2690",0,2,0,0,9,0,430,2
"2691",43,2,0,1,13,0,121,4
"2692",9,2,0,1,15,0,125,2
"2693",27,2,1,0,5,1,711,3
"2694",0,2,1,0,11,1,701,3
"2695",34,2,1,1,1,1,728,3
"2696",29,2,0,0,1,1,579,3
"2697",8,2,0,1,7,1,806,3
"2698",48,2,1,1,13,0,286,4
"2699",45,2,0,1,1,0,83,4
"2700",0,2,1,0,12,1,605,3
"2701",42,2,0,0,7,0,199,1
"2702",7,2,1,1,11,0,184,4
"2703",50,2,0,0,11,0,45,1
"2704",15,2,1,1,3,1,938,3
"2705",20,2,1,0,3,1,620,3
"2706",36,2,0,1,8,0,433,4
"2707",46,2,0,0,13,0,28,1
"2708",8,2,0,0,13,0,244,2
"2709",1,2,1,0,15,0,233,2
"2710",0,2,0,1,13,1,604,3
"2711",0,2,0,0,12,0,161,2
"2712",30,2,1,0,6,0,324,1
"2713",15,2,0,0,8,0,288,2
"2714",7,2,0,1,12,0,314,2
"2715",8,2,1,0,3,1,724,3
"2716",9,2,1,1,10,1,519,3
"2717",41,2,1,1,0,0,465,4
"2718",51,2,0,1,7,0,38,4
"2719",24,2,0,0,15,0,253,2
"2720",49,2,1,0,9,0,271,1
"2721",25,2,1,1,8,0,442,4
"2722",52,2,0,0,1,0,94,1
"2723",5,2,1,1,12,1,1397,3
"2724",38,2,0,1,8,0,431,4
"2725",46,2,1,1,5,0,88,4
"2726",46,2,0,1,6,0,147,4
"2727",38,2,0,0,1,0,334,1
"2728",45,2,0,1,6,0,171,4
"2729",23,2,0,0,10,0,354,2
"2730",12,2,0,0,4,1,534,3
"2731",14,2,0,1,10,0,384,4
"2732",47,2,0,1,6,0,320,4
"2733",0,2,0,0,13,0,319,2
"2734",5,2,0,1,12,0,427,2
"2735",49,2,1,1,13,0,50,4
"2736",19,2,1,0,11,0,264,2
"2737",40,2,0,0,14,0,292,1
"2738",0,2,0,1,13,0,452,2
"2739",49,2,1,1,8,0,174,4
"2740",33,2,1,0,1,0,410,1
"2741",43,2,0,0,7,0,118,1
"2742",34,2,0,0,1,1,574,3
"2743",7,2,0,0,7,0,346,2
"2744",12,2,1,1,2,1,784,3
"2745",37,2,0,0,2,0,406,1
"2746",43,2,0,1,5,0,286,4
"2747",2,2,0,1,14,1,763,3
"2748",20,2,0,1,9,0,487,4
"2749",0,2,0,1,8,1,878,3
"2750",42,2,1,1,7,0,313,4
"2751",19,2,0,1,14,0,244,4
"2752",5,2,1,0,14,0,322,2
"2753",47,2,0,0,1,0,387,1
"2754",50,2,1,1,9,0,190,4
"2755",7,2,0,0,1,0,357,1
"2756",14,2,0,0,12,0,319,2
"2757",1,2,0,0,12,0,267,2
"2758",43,2,0,1,3,0,197,4
"2759",43,2,0,1,10,0,75,4
"2760",40,2,1,0,12,0,355,1
"2761",16,2,1,1,4,1,800,3
"2762",44,2,1,1,5,1,560,3
"2763",45,2,0,0,6,0,226,1
"2764",3,2,0,1,15,0,356,2
"2765",14,2,1,0,13,0,250,2
"2766",49,2,0,1,5,0,331,4
"2767",43,2,0,0,9,0,265,1
"2768",4,2,0,0,14,0,248,2
"2769",18,2,1,1,9,1,511,3
"2770",48,2,0,0,2,0,323,1
"2771",35,2,1,1,4,1,924,3
"2772",48,2,1,0,7,0,34,1
"2773",0,2,1,1,12,1,722,3
"2774",23,2,1,1,5,1,1017,3
"2775",27,2,1,1,0,1,976,3
"2776",4,2,1,1,12,0,483,2
"2777",13,2,1,0,9,0,386,2
"2778",16,2,0,1,9,0,364,4
"2779",34,2,0,0,15,0,247,2
"2780",35,2,0,1,14,0,350,4
"2781",28,2,0,0,12,0,193,2
"2782",13,2,0,1,7,0,380,4
"2783",47,2,0,0,7,0,82,1
"2784",13,2,0,1,9,0,457,4
"2785",40,2,1,1,1,0,57,4
"2786",1,2,0,0,2,0,398,2
"2787",2,2,1,1,4,1,1209,3
"2788",7,2,1,0,3,1,949,3
"2789",46,2,1,1,11,0,30,4
"2790",5,2,1,1,8,1,648,3
"2791",33,2,1,1,3,1,803,3
"2792",45,2,0,0,7,0,81,1
"2793",50,2,0,1,15,0,257,4
"2794",1,2,1,1,1,1,1284,3
"2795",13,2,1,0,9,0,341,2
"2796",37,2,0,0,8,0,319,1
"2797",0,2,1,0,0,1,1225,3
"2798",21,2,0,1,6,0,421,4
"2799",51,2,0,0,11,0,263,1
"2800",9,2,0,0,15,0,229,2
"2801",28,2,1,1,8,0,406,4
"2802",24,2,0,0,6,0,303,1
"2803",0,2,0,1,12,1,532,3
"2804",50,2,1,0,3,1,678,3
"2805",48,2,1,0,12,0,137,1
"2806",0,2,0,0,12,0,289,2
"2807",3,2,1,1,3,1,1151,3
"2808",35,2,0,1,5,1,717,3
"2809",38,2,1,0,12,0,311,1
"2810",38,2,1,1,2,1,907,3
"2811",43,2,0,0,7,0,213,1
"2812",23,2,0,0,6,0,346,1
"2813",18,2,0,0,7,0,315,2
"2814",1,2,0,0,14,0,178,2
"2815",38,2,0,0,5,1,525,3
"2816",52,2,0,1,9,0,353,4
"2817",42,2,0,1,0,0,227,4
"2818",30,2,0,0,0,0,401,1
"2819",3,2,1,1,13,1,689,3
"2820",0,2,1,0,11,0,160,2
"2821",42,2,1,0,10,0,49,1
"2822",46,2,1,0,14,0,59,1
"2823",0,2,0,0,13,1,501,2
"2824",16,2,1,1,15,0,218,4
"2825",33,2,1,1,1,1,892,3
"2826",9,2,0,1,5,1,529,3
"2827",50,2,1,1,10,0,45,4
"2828",17,2,1,1,9,1,515,3
"2829",42,2,0,0,3,1,624,3
"2830",31,2,0,1,0,1,591,3
"2831",5,2,0,1,15,0,488,2
"2832",23,2,0,1,1,1,652,3
"2833",51,2,0,1,2,0,141,4
"2834",48,2,0,1,5,1,572,3
"2835",30,2,1,1,12,0,435,4
"2836",41,2,0,1,1,0,108,4
"2837",23,2,0,1,6,0,456,4
"2838",9,2,1,1,6,1,510,3
"2839",48,2,1,0,13,0,37,1
"2840",14,2,1,0,6,0,354,1
"2841",3,2,1,0,2,1,808,3
"2842",3,2,0,1,12,1,545,3
"2843",3,2,1,1,7,1,834,3
"2844",40,2,0,1,8,0,416,4
"2845",20,2,0,0,0,0,494,1
"2846",42,2,0,0,1,0,217,1
"2847",1,2,1,0,9,1,623,3
"2848",5,2,1,1,14,1,724,3
"2849",4,2,1,0,7,1,706,3
"2850",30,2,1,1,3,1,717,3
"2851",53,2,1,0,0,1,550,3
"2852",20,2,0,0,2,1,647,3
"2853",29,2,1,0,6,0,382,1
"2854",46,2,0,0,10,0,248,1
"2855",20,2,0,1,14,0,367,4
"2856",0,2,0,1,5,1,671,3
"2857",49,2,1,0,12,0,114,1
"2858",52,2,1,0,15,0,215,1
"2859",26,2,0,0,6,0,311,1
"2860",38,2,0,0,10,0,276,1
"2861",11,2,0,1,10,0,382,2
"2862",4,2,1,1,11,1,1195,3
"2863",23,2,0,0,10,0,337,2
"2864",39,2,1,1,13,0,28,4
"2865",21,2,0,0,7,0,320,1
"2866",49,2,0,0,4,0,189,1
"2867",53,2,0,1,5,0,412,4
"2868",6,2,1,0,7,0,432,2
"2869",0,2,1,1,14,1,710,3
"2870",17,2,0,1,7,0,432,4
"2871",26,2,0,0,10,0,328,1
"2872",25,2,1,0,2,0,400,1
"2873",10,2,0,1,13,0,297,2
"2874",13,2,0,1,0,1,708,3
"2875",0,2,1,0,11,1,535,3
"2876",16,2,0,0,8,0,335,2
"2877",46,2,0,0,14,0,107,1
"2878",45,2,1,1,1,0,274,4
"2879",5,2,1,0,13,0,385,2
"2880",20,2,0,1,6,0,432,4
"2881",50,2,1,0,12,0,31,1
"2882",47,2,1,0,15,0,116,1
"2883",30,2,1,1,2,1,750,3
"2884",11,2,0,1,5,1,556,3
"2885",21,2,0,0,7,0,307,1
"2886",7,2,0,1,12,0,197,2
"2887",47,2,0,0,10,0,120,1
"2888",46,2,1,1,2,1,655,3
"2889",31,2,0,1,12,0,148,4
"2890",30,2,0,0,13,0,237,2
"2891",37,2,1,0,7,0,372,1
"2892",6,2,0,1,7,1,701,3
"2893",14,2,0,1,8,0,370,4
"2894",3,2,1,1,11,1,632,3
"2895",5,2,0,0,8,0,493,2
"2896",11,2,1,0,14,0,379,2
"2897",4,2,0,0,13,0,274,2
"2898",30,2,1,0,1,0,377,1
"2899",6,2,0,0,15,0,178,2
"2900",8,2,1,1,14,1,683,3
"2901",20,2,1,1,13,0,434,4
"2902",24,2,0,0,7,0,332,1
"2903",45,2,1,0,14,0,80,1
"2904",49,2,0,1,12,0,19,4
"2905",21,2,0,0,1,1,555,3
"2906",29,2,0,0,6,0,329,1
"2907",51,2,0,1,10,0,288,4
"2908",13,2,1,0,8,0,353,2
"2909",43,2,1,1,7,0,161,4
"2910",5,2,0,1,14,0,234,2
"2911",43,2,1,1,1,0,433,4
"2912",30,2,0,1,10,0,473,4
"2913",0,2,1,0,9,0,356,2
"2914",22,2,0,0,0,0,382,1
"2915",1,2,0,0,11,0,390,2
"2916",17,2,1,0,3,1,553,3
"2917",5,2,0,1,11,1,591,3
"2918",46,2,1,0,9,0,90,1
"2919",3,2,0,1,15,0,243,2
"2920",0,2,1,0,14,1,669,3
"2921",0,2,1,0,11,0,298,2
"2922",2,2,1,0,0,1,1183,3
"2923",3,2,1,0,10,0,415,2
"2924",5,2,1,0,14,0,311,2
"2925",4,2,1,1,9,1,753,3
"2926",0,2,0,1,5,1,699,3
"2927",51,2,0,0,13,0,90,1
"2928",39,2,1,0,6,0,401,1
"2929",0,2,1,0,7,1,575,3
"2930",8,2,0,0,12,0,208,2
"2931",51,2,1,1,15,0,381,4
"2932",14,2,1,1,7,0,492,4
"2933",4,2,0,1,12,0,343,2
"2934",42,2,0,0,4,0,73,1
"2935",43,2,1,0,10,0,262,1
"2936",7,2,1,1,2,1,609,3
"2937",1,2,1,0,8,0,380,2
"2938",1,2,1,1,11,1,848,3
"2939",17,2,0,1,2,1,525,3
"2940",49,2,1,0,10,0,291,1
"2941",33,2,0,1,4,1,575,3
"2942",35,2,0,1,6,0,412,4
"2943",40,2,1,1,9,0,260,4
"2944",31,2,0,0,14,0,303,2
"2945",50,2,0,0,4,0,110,1
"2946",2,2,0,1,15,0,445,2
"2947",6,2,0,0,1,1,653,3
"2948",37,2,1,1,14,0,362,4
"2949",3,2,0,1,15,0,216,2
"2950",45,2,1,1,9,0,120,4
"2951",45,2,0,0,8,0,203,1
"2952",23,2,0,1,6,0,351,4
"2953",37,2,1,0,5,0,428,1
"2954",27,2,1,0,11,0,154,1
"2955",45,2,1,0,14,0,145,1
"2956",38,2,1,1,10,0,470,4
"2957",1,2,1,1,12,1,1270,3
"2958",35,2,0,1,8,0,383,4
"2959",6,2,1,1,14,1,565,3
"2960",8,2,0,0,10,0,308,2
"2961",1,2,1,0,12,1,524,3
"2962",50,2,0,1,7,0,158,4
"2963",27,2,1,0,14,0,201,1
"2964",25,2,1,0,9,0,427,1
"2965",10,2,0,1,5,0,377,4
"2966",0,2,1,1,15,0,402,2
"2967",41,2,1,1,2,1,569,3
"2968",51,2,1,0,8,0,306,1
"2969",4,2,1,1,1,1,1736,3
"2970",1,2,1,0,11,0,436,2
"2971",20,2,0,1,15,0,350,4
"2972",32,2,0,0,1,0,462,1
"2973",29,2,1,0,10,0,322,1
"2974",48,2,1,0,1,0,190,1
"2975",45,2,1,0,4,0,367,1
"2976",14,2,0,0,12,0,277,2
"2977",48,2,1,0,10,0,201,1
"2978",50,2,0,1,12,0,169,4
"2979",47,2,1,0,10,0,242,1
"2980",11,2,0,0,8,0,295,2
"2981",51,2,0,0,13,0,136,1
"2982",5,2,1,1,11,1,605,3
"2983",29,2,0,1,8,0,340,4
"2984",4,2,1,1,1,1,1747,3
"2985",44,2,0,1,12,0,55,4
"2986",10,2,0,0,1,1,602,3
"2987",13,2,1,0,9,0,409,2
"2988",44,2,0,1,1,0,293,4
"2989",22,2,0,0,10,0,360,2
"2990",44,2,1,1,3,0,240,4
"2991",4,2,1,1,14,0,321,2
"2992",49,2,1,0,3,1,557,3
"2993",43,2,1,0,8,0,241,1
"2994",20,2,0,0,6,0,346,1
"2995",17,2,1,1,1,1,730,3
"2996",48,2,0,0,14,0,201,1
"2997",30,2,0,0,9,0,372,1
"2998",44,2,0,1,14,0,267,4
"2999",51,2,0,0,2,0,338,1
"3000",40,2,1,0,8,0,371,1
"3001",18,2,1,1,12,0,398,4
"3002",24,2,0,1,7,0,382,4
"3003",2,2,1,0,12,0,269,2
"3004",5,2,0,1,12,0,300,2
"3005",40,2,0,0,13,0,191,1
"3006",6,2,1,0,12,0,333,2
"3007",13,2,1,0,15,0,142,2
"3008",19,2,0,1,5,1,586,3
"3009",1,2,0,1,11,0,439,2
"3010",51,2,0,1,9,0,38,4
"3011",5,2,0,1,13,0,270,2
"3012",50,2,1,1,9,0,69,4
"3013",46,2,1,1,9,0,193,4
"3014",0,2,0,0,13,0,174,2
"3015",35,2,0,0,7,0,318,1
"3016",8,2,0,0,12,0,135,2
"3017",0,2,0,0,11,0,142,2
"3018",0,2,1,0,12,0,454,2
"3019",30,2,1,1,4,1,995,3
"3020",45,2,0,0,5,0,172,1
"3021",4,2,1,1,14,1,519,3
"3022",3,2,1,1,1,1,1667,3
"3023",48,2,0,0,15,0,60,1
"3024",45,2,1,1,7,0,50,4
"3025",2,2,1,1,0,1,1197,3
"3026",41,2,1,0,8,0,199,1
"3027",0,2,1,1,15,0,348,2
"3028",10,2,1,1,10,0,387,4
"3029",10,2,1,1,9,1,518,3
"3030",42,2,0,0,10,0,151,1
"3031",9,2,0,0,9,0,322,2
"3032",27,2,1,0,6,0,338,1
"3033",44,2,0,1,11,0,173,4
"3034",47,2,0,1,10,0,250,4
"3035",38,2,0,0,14,0,251,1
"3036",36,2,0,0,11,0,125,1
"3037",21,2,1,0,2,1,575,3
"3038",1,2,0,0,11,0,197,2
"3039",1,2,0,0,9,0,369,2
"3040",8,2,1,0,15,0,280,2
"3041",29,2,0,0,0,1,701,3
"3042",21,2,1,0,6,0,388,1
"3043",38,2,0,0,10,0,352,1
"3044",15,2,0,0,15,0,292,2
"3045",5,2,0,1,15,1,501,3
"3046",45,2,1,0,10,0,226,1
"3047",35,2,1,1,7,1,578,3
"3048",47,2,1,0,3,0,148,1
"3049",46,2,1,0,14,0,359,1
"3050",6,2,0,1,8,1,503,3
"3051",22,2,0,1,10,0,346,4
"3052",5,2,1,1,14,0,349,2
"3053",31,2,1,1,9,0,453,4
"3054",4,2,1,0,13,0,263,2
"3055",45,2,1,1,8,0,123,4
"3056",1,2,0,1,4,1,855,3
"3057",34,2,1,1,4,1,574,3
"3058",11,2,0,1,0,0,488,4
"3059",25,2,0,1,7,0,419,4
"3060",48,2,1,1,9,0,157,4
"3061",3,2,1,1,14,1,725,3
"3062",48,2,0,1,6,0,218,4
"3063",2,2,1,1,12,1,1046,3
"3064",34,2,1,0,1,1,539,3
"3065",8,2,1,0,3,1,668,3
"3066",45,2,1,1,3,1,579,3
"3067",25,2,1,1,6,0,433,4
"3068",46,2,1,1,10,0,366,4
"3069",10,2,0,1,9,0,418,4
"3070",17,2,0,1,12,0,133,4
"3071",44,2,1,0,7,0,275,1
"3072",5,2,0,1,13,1,628,3
"3073",47,2,1,1,8,0,45,4
"3074",16,2,0,0,10,0,330,2
"3075",7,2,0,0,6,0,474,2
"3076",40,2,0,1,0,0,255,4
"3077",40,2,0,1,9,0,223,4
"3078",9,2,0,1,9,0,402,2
"3079",51,2,1,0,2,0,63,1
"3080",43,2,1,1,12,0,41,4
"3081",49,2,1,1,2,0,58,4
"3082",42,2,1,0,11,0,198,1
"3083",15,2,0,0,3,0,473,1
"3084",0,2,1,1,9,1,1000,3
"3085",15,2,1,0,15,0,189,2
"3086",11,2,0,0,9,0,334,2
"3087",50,2,1,1,4,1,563,3
"3088",33,2,1,1,12,0,164,4
"3089",40,2,1,0,8,0,269,1
"3090",6,2,0,1,6,1,643,3
"3091",12,2,0,0,8,0,340,2
"3092",44,2,1,1,6,0,367,4
"3093",6,2,1,0,11,0,219,2
"3094",28,2,0,1,2,0,495,4
"3095",52,2,0,1,5,1,636,3
"3096",43,2,1,0,1,0,116,1
"3097",3,2,1,0,12,0,231,2
"3098",39,2,0,1,15,0,275,4
"3099",6,2,0,1,13,1,712,3
"3100",46,2,1,0,3,0,169,1
"3101",39,2,0,0,9,0,322,1
"3102",40,2,0,1,0,0,71,4
"3103",39,2,1,0,1,0,349,1
"3104",16,2,1,1,13,0,306,4
"3105",39,2,0,1,3,0,322,4
"3106",46,2,0,0,6,0,72,1
"3107",37,2,1,0,5,1,750,3
"3108",2,2,0,1,12,0,257,2
"3109",46,2,0,1,5,0,109,4
"3110",43,2,1,0,2,0,77,1
"3111",36,2,0,1,9,0,384,4
"3112",8,2,0,0,11,0,281,2
"3113",23,2,0,1,5,0,457,4
"3114",13,2,1,0,9,0,417,2
"3115",2,2,1,0,6,0,384,2
"3116",7,2,1,1,12,1,807,3
"3117",6,2,1,0,9,1,669,3
"3118",39,2,1,1,3,1,590,3
"3119",32,2,0,0,9,0,364,1
"3120",3,2,1,1,15,0,307,2
"3121",44,2,1,0,7,0,82,1
"3122",51,2,0,1,8,0,307,4
"3123",21,2,0,0,10,0,318,2
"3124",39,2,0,1,4,0,218,4
"3125",46,2,1,1,13,0,371,4
"3126",44,2,1,1,13,0,29,4
"3127",44,2,1,0,6,0,266,1
"3128",46,2,1,0,4,0,95,1
"3129",45,2,1,0,6,0,112,1
"3130",35,2,1,1,5,1,755,3
"3131",13,2,1,1,1,1,978,3
"3132",45,2,1,0,12,0,126,1
"3133",6,2,0,1,13,1,593,3
"3134",47,2,0,0,8,0,190,1
"3135",5,2,0,0,12,0,154,2
"3136",41,2,0,1,14,0,39,4
"3137",5,2,0,0,14,0,245,2
"3138",44,2,0,0,9,0,177,1
"3139",32,2,0,1,5,0,483,4
"3140",2,2,0,0,9,1,547,3
"3141",14,2,0,1,5,0,426,4
"3142",45,2,0,1,13,0,25,4
"3143",1,2,1,1,11,1,545,3
"3144",25,2,1,0,8,0,373,1
"3145",6,2,1,0,15,0,147,2
"3146",20,2,1,0,5,1,584,3
"3147",41,2,1,1,11,0,67,4
"3148",49,2,0,0,6,0,35,1
"3149",38,2,0,0,11,0,295,1
"3150",0,2,0,1,15,0,265,2
"3151",1,2,1,0,13,0,365,2
"3152",0,2,1,1,9,1,846,3
"3153",1,2,0,0,15,0,125,2
"3154",25,2,0,1,9,0,380,4
"3155",43,2,0,1,15,0,345,4
"3156",34,2,0,1,12,0,470,4
"3157",5,2,0,0,15,0,329,2
"3158",8,2,0,0,14,0,167,2
"3159",42,2,1,0,15,0,190,1
"3160",25,2,0,1,8,0,456,4
"3161",50,2,0,1,1,0,331,4
"3162",23,2,0,0,3,0,328,1
"3163",0,2,0,1,14,1,510,3
"3164",46,2,0,0,6,0,43,1
"3165",4,2,1,1,11,0,423,2
"3166",19,2,0,1,5,1,565,3
"3167",47,2,0,0,11,0,85,1
"3168",26,2,1,1,10,1,560,3
"3169",48,2,1,1,3,0,192,4
"3170",0,2,1,0,15,0,444,2
"3171",49,2,1,1,13,0,283,4
"3172",26,2,1,0,7,0,340,1
"3173",43,2,0,1,3,0,204,4
"3174",6,2,0,1,14,0,308,2
"3175",22,2,0,1,11,0,287,4
"3176",26,2,0,1,12,0,280,4
"3177",1,2,0,0,13,0,200,2
"3178",6,2,0,1,11,1,531,3
"3179",0,2,1,1,11,0,325,2
"3180",43,2,1,1,15,0,182,4
